C1,XX.387,Banca do Zé,Revista,15,3,2011
C2,XX.782,Banca do João,Jornal,22,7,2012
C3,XX.195,Banca da Maria,Revista,10,5,2013
C4,XX.639,Cantinho do Mineiro,Biscoito,3,9,2014
C5,XX.512,Sabores do Nordeste,Doce de Leite,27,11,2015
C6,XX.298,Guloseimas da Vovó,Brigadeiro,8,1,2016
C7,XX.754,Ponto Certo,Pipoca,19,4,2017
C8,XX.843,Doces Sonhos,Sonho de Valsa,23,6,2018
C9,XX.479,Tia Ana Pastelaria,Pastel de Carne,5,2,2019
C10,XX.627,Salgados da Hora,Coxinha,17,10,2020
C11,XX.246,Frutas Fresquinhas,Banana,30,12,2010
C12,XX.341,Verduras e Legumes,Tomate,14,7,2011
C13,XX.987,O Rei do Açaí,Açaí com Granola,2,5,2012
C14,XX.452,Lanches Saudáveis,Salada de Frutas,28,8,2013
C15,XX.763,Café com Pão,Café Expresso,21,3,2014
C16,XX.554,Pastelaria do Alemão,Pastel de Queijo,6,11,2015
C17,XX.916,Esfihas do Iraque,Esfiha de Carne,18,12,2016
C18,XX.384,Churros Gourmet,Churros de Doce de Leite,10,2,2017
C19,XX.142,Sorveteria Italiana,Sorvete de Chocolate,25,6,2018
C20,XX.731,Hambúrgueres Artesanais,Hambúrguer com Queijo,13,9,2019
C21,XX.378,Pizza no Prato,Pizza Margherita,7,1,2020
C22,XX.542,Comida Caseira,Feijoada,26,4,2010
C23,XX.316,Yakisoba do Chefe,Yakisoba de Frango,12,8,2011
C24,XX.789,Temaki Express,Temaki de Salmão,4,10,2012
C25,XX.961,Sushi Bar,Sushi de Atum,29,11,2013
C26,XX.485,Poke do Havaí,Poke de Salmão,20,2,2014
C27,XX.248,Padaria Francesa,Croissant,15,5,2015
C28,XX.134,Doces Alemães,Apfelstrudel,9,12,2016
C29,XX.549,Emporium Árabe,Kibe,30,1,2017
C30,XX.765,Mercearia Fina,Queijo,24,3,2018
C31,XX.282,Produtos Naturais,Castanhas,11,7,2019
C32,XX.396,Cervejas Artesanais,IPA,27,9,2020
C33,XX.853,Vinhos Selecionados,Vinho Tinto,18,11,2010
C34,XX.451,Cachaças do Brasil,Cachaça de Minas,3,1,2011
C35,XX.512,Livros e Café,Livro de Ficção,13,2,2012
C36,XX.327,Artesanato Local,Artesanato de Madeira,29,4,2013
C37,XX.684,Bijuterias Finas,Colar de Pérolas,8,6,2014
C38,XX.928,Roupas para Todos,Camiseta,22,8,2015
C39,XX.474,Calçados e Acessórios,Tênis,17,10,2016
C40,XX.159,Presentes Criativos,Caneca Personalizada,5,12,2017
C41,XX.731,Brinquedos para Crianças,Carrinho de Brinquedo,14,3,2018
C42,XX.296,Artigos de Papelaria,Caderno,27,5,2019
C43,XX.638,Material Escolar,Lápis de Cor,2,7,2020
C44,XX.851,Decoração para Casa,Vaso de Flores,23,9,2010
C45,XX.432,Móveis Planejados,Mesa de Jantar,11,11,2011
C46,XX.723,Utensílios Domésticos,Panelas,6,2,2012
C47,XX.156,Jardinagem e Paisagismo,Sementes de Flores,19,4,2013
C48,XX.985,Ferramentas e Materiais de Construção,Martelo,4,6,2014
C49,XX.471,Eletrônicos e Eletrodomésticos,Aparelho de Som,29,8,2015
C50,XX.792,Serviços de Reparo,Conserto de Sapatos,15,10,2016
C51,XX.123,Cantinho do Pastel,Pastel de Frango,2,12,2017
C52,XX.845,Sabores da Bahia,Acarajé,28,3,2018
C53,XX.654,Cuscuz com Ovo,Cuscuz,13,5,2019
C54,XX.249,Tapioca da Tia,Tapioca com Coco,5,7,2020
C55,XX.328,Açaí na Tigela,Açaí com Banana,22,9,2010
C56,XX.501,Salada Tropical,Salada de Frutas,10,11,2011
C57,XX.774,Sanduíches Naturais,Sanduíche de Frango,27,2,2012
C58,XX.849,Crepe Francês,Crepe de Nutella,17,4,2013
C59,XX.437,Coxinha de Frango com Catupiry,Coxinha,1,6,2014
C60,XX.520,Pão de Queijo Recheado,Pão de Queijo,21,8,2015
C61,XX.394,Frutas Vermelhas,Morango,4,10,2016
C62,XX.631,Legumes Frescos,Cenoura,30,12,2017
C63,XX.782,Suco de Frutas,Suco de Laranja,16,3,2018
C64,XX.218,Café Gourmet,Café com Leite,8,5,2019
C65,XX.354,Pão Artesanal,Pão Integral,3,7,2020
C66,XX.129,Doces Caseiros,Brigadeiro,25,9,2010
C67,XX.598,Kibe de Carne com Especiarias,Kibe,14,11,2011
C68,XX.791,Gelato Italiano,Gelato de Pistache,29,1,2012
C69,XX.146,Pizzaiolo Napoletano,Pizza Napolitana,11,4,2013
C70,XX.256,Comida Árabe,Falafel,5,6,2014
C71,XX.623,Sushi Tradicional,Sushi de Salmão,17,8,2015
C72,XX.478,Yakisoba Vegetariano,Yakisoba de Legumes,2,10,2016
C73,XX.719,Poke com Salmão,Poke,23,12,2017
C74,XX.389,Temaki de Atum,Temaki,15,3,2018
C75,XX.511,Hambúrguer Vegetal,Hambúrguer de Grão de Bico,9,5,2019
C76,XX.627,Pizza no Prato,Pizza de Calabresa,12,1,2010
C77,XX.732,Cantinho do Mineiro,Café com Leite,23,2,2011
C78,XX.218,Sorveteria Italiana,Gelato de Baunilha,8,3,2012
C79,XX.846,Lanches Saudáveis,Wrap de Frango,19,4,2013
C80,XX.564,Guloseimas da Vovó,Pé de Moleque,25,5,2014
C81,XX.729,O Rei do Açaí,Açaí com Morango,7,6,2015
C82,XX.192,Frutas Fresquinhas,Maçã,18,7,2016
C83,XX.841,Temaki Express,Temaki de Camarão,29,8,2017
C84,XX.673,Sabores do Nordeste,Bolo de Rolo,11,9,2018
C85,XX.228,Doces Sonhos,Bombom de Coco,5,10,2019
C86,XX.491,Ponto Certo,Torrada,17,11,2020
C87,XX.173,Café com Pão,Pão de Milho,22,12,2010
C88,XX.754,Pastelaria do Alemão,Pastel de Palmito,10,2,2011
C89,XX.621,Esfihas do Iraque,Esfiha de Frango,4,3,2012
C90,XX.235,Artesanato Local,Escultura de Cerâmica,30,4,2013
C91,XX.582,Bijuterias Finas,Pulseira de Ouro,15,5,2014
C92,XX.799,Roupas para Todos,Calça Jeans,3,6,2015
C93,XX.346,Presentes Criativos,Quadro Decorativo,21,7,2016
C94,XX.792,Brinquedos para Crianças,Boneca,13,8,2017
C95,XX.412,Material Escolar,Borracha,27,9,2018
C96,XX.236,Móveis Planejados,Estante,5,10,2019
C97,XX.943,Jardinagem e Paisagismo,Adubo,18,11,2020
C98,XX.591,Eletrônicos e Eletrodomésticos,Batedeira,1,12,2010
C99,XX.328,Serviços de Reparo,Troca de Pneu,14,1,2011
C100,XX.647,Cantinho do Pastel,Pastel de Pizza,26,2,2012
